zip_code,year,month,subsidy_total_cost,subsidy_total_kw,subsidy_total_paid,subsidy_count
93257,2015.00,Oct,317612.46,57.65,237856.21,15
93270,2015.00,Oct,45367.35,8.18,29302.35,2
93274,2015.00,Oct,79116.45,13.29,52787.70,3
93277,2015.00,Oct,18212.25,3.18,11964.75,1
93292,2015.00,Oct,11720.10,2.04,7703.85,1
93458,2015.00,Oct,10034.77,1.82,5448.00,1
93514,2015.00,Oct,163898.32,29.26,163898.32,7
93543,2015.00,Oct,31038.00,4.98,31038.00,1
93550,2015.00,Oct,15844.42,2.65,15844.42,1
93722,2015.00,Oct,13853.06,2.99,7850.56,1
93907,2015.00,Oct,11996.20,2.51,7542.00,1
93926,2015.00,Oct,18025.98,4.26,12186.72,2
93927,2015.00,Oct,81487.06,14.19,53485.00,6
93930,2015.00,Oct,45316.42,8.50,25494.00,3
93960,2015.00,Oct,12548.28,3.89,11664.00,1
94110,2015.00,Oct,19593.00,2.80,19593.00,1
94112,2015.00,Oct,15904.49,3.41,10227.00,1
94124,2015.00,Oct,50263.44,8.89,26679.00,4
94303,2015.00,Oct,16231.82,3.96,11892.00,1
94521,2015.00,Oct,14339.19,2.87,8604.00,1
94601,2015.00,Oct,41990.64,7.76,21082.82,3
94603,2015.00,Oct,26989.03,5.81,17430.00,2
94608,2015.00,Oct,23121.00,3.63,15269.00,2
94621,2015.00,Oct,10813.27,2.05,10813.27,1
94801,2015.00,Oct,15405.17,2.49,7458.00,1
94804,2015.00,Oct,42854.29,7.10,21291.00,3
94931,2015.00,Oct,10948.57,2.00,6015.00,1
95423,2015.00,Oct,20549.23,4.37,20549.23,1
95469,2015.00,Oct,15591.21,3.71,11133.00,1
95482,2015.00,Oct,24713.31,5.45,16344.00,2
95492,2015.00,Oct,10847.50,1.97,10847.50,1
95963,2015.00,Oct,11159.51,2.04,6129.00,1
96080,2015.00,Oct,53796.35,11.82,35457.00,3
90001,2015.00,Nov,20371.60,3.47,13231.60,1
90022,2015.00,Nov,21570.55,3.71,14133.05,1
90222,2015.00,Nov,23510.82,5.00,13448.32,1
90262,2015.00,Nov,30400.39,4.62,21151.64,2
90280,2015.00,Nov,32017.63,5.57,20861.38,2
90805,2015.00,Nov,15865.67,2.40,11053.17,1
90806,2015.00,Nov,17162.08,3.06,17162.08,1
90810,2015.00,Nov,9860.70,1.75,6360.70,1
90813,2015.00,Nov,28778.37,3.66,21340.87,2
91911,2015.00,Nov,20010.39,4.37,13098.00,1
92082,2015.00,Nov,37767.47,7.31,21936.00,2
92113,2015.00,Nov,19391.17,2.95,8847.00,2
92114,2015.00,Nov,15815.57,3.50,10491.00,1
92173,2015.00,Nov,14624.63,2.07,6222.00,1
92225,2015.00,Nov,27700.72,4.83,27700.72,1
92240,2015.00,Nov,39462.76,8.16,39462.76,2
92311,2015.00,Nov,22982.77,4.93,12972.77,1
92376,2015.00,Nov,17162.28,3.96,9278.53,1
92395,2015.00,Nov,21537.21,4.37,12787.21,1
92404,2015.00,Nov,16106.84,2.84,10419.34,1
92570,2015.00,Nov,27851.29,5.21,17386.29,2
92703,2015.00,Nov,21428.39,3.71,13990.89,1
93227,2015.00,Nov,72778.82,15.28,42153.82,5
93230,2015.00,Nov,29279.61,4.86,19435.86,1
93247,2015.00,Nov,26626.57,5.63,15207.82,2
93257,2015.00,Nov,43760.85,7.12,29585.85,2
93270,2015.00,Nov,21827.40,3.87,14232.40,1
93291,2015.00,Nov,28850.89,4.75,19479.64,1
93534,2015.00,Nov,36454.72,7.28,36454.72,2
93543,2015.00,Nov,19931.93,3.27,19614.00,1
93553,2015.00,Nov,20506.73,3.17,20506.73,1
93630,2015.00,Nov,26716.20,4.40,26716.20,1
93638,2015.00,Nov,53063.84,12.47,34156.28,4
93722,2015.00,Nov,35370.79,7.85,23452.40,2
93905,2015.00,Nov,17749.82,3.73,11190.00,1
93906,2015.00,Nov,13329.87,2.95,8853.00,1
93925,2015.00,Nov,21505.55,3.40,21505.55,1
93926,2015.00,Nov,11000.07,2.10,6294.00,1
93927,2015.00,Nov,61287.30,11.78,35325.00,5
93930,2015.00,Nov,26761.97,4.87,14616.00,2
93960,2015.00,Nov,76352.62,15.30,45891.00,5
94110,2015.00,Nov,18378.72,3.45,10353.00,2
94134,2015.00,Nov,16213.96,2.91,8724.00,1
94509,2015.00,Nov,12223.70,2.77,8310.00,1
