ZIP,total_subsidy,total_kW,project_count,low_income_subsidy,low_income_kW,low_projects,equity_share
92118,1062131.74,975.477,133,0.0,0.0,0.0,0.0
92119,912176.0,1614.501,211,44289.0,16.705000000000002,5.0,0.048553130097700445
92120,2651025.14,4182.876,350,55509.0,20.605,5.0,0.020938692418435535
92121,2170038.36,2769.001,68,0.0,0.0,0.0,0.0
92122,1311361.47,1780.583,202,0.0,0.0,0.0,0.0
92123,3651109.86,5483.688,164,0.0,0.0,0.0,0.0
92124,1549943.92,2426.549,214,0.0,0.0,0.0,0.0
92126,3890714.0,4687.3005,260,24282.0,8.98,2.0,0.0062410138601809335
92127,4418792.11,4925.878,420,0.0,435.0,1.0,0.0
92128,2127695.95,3913.8070000000002,387,49842.0,18.46,5.0,0.02342533950868309
92129,1785591.47,3101.966,554,0.0,350.0,2.0,0.0
92130,4645836.15,4706.111,448,54858.0,606.0,4.0,0.011807992841073398
92131,4030184.1,6294.253,544,0.0,0.0,0.0,0.0
92132,705249.0,280.06,3,0.0,0.0,0.0,0.0
92139,665110.15,833.077,51,521452.15,379.58,19.0,0.7840087089334
92140,1924112.0,1157.3,3,0.0,0.0,0.0,0.0
92145,518201.0,449.01,3,0.0,0.0,0.0,0.0
92154,16260160.42,12501.145,180,4092704.17,2728.661,44.0,0.2517013402257688
92161,227679.0,210.24,1,0.0,0.0,0.0,0.0
92173,1774745.5,1133.7,25,604041.5,916.86,14.0,0.34035387045635557
92177,18174.0,10.395,2,0.0,0.0,0.0,0.0
92182,1875050.0,1068.098,7,0.0,0.0,0.0,0.0
92199,1286.0,2.3,1,0.0,0.0,0.0,0.0
92210,5802245.0,3949.37,258,3426397.0,540.415,5.0,0.5905295277948449
92211,6363529.04,4550.484,446,1521930.66,308.955,91.0,0.23916456583028337
92220,871417.0,824.3290000000001,38,0.0,3.36,1.0,0.0
92221,25125.43,12.24,1,0.0,0.0,0.0,0.0
92223,5520304.9108,9819.535999999998,428,374356.61,92.125,11.0,0.06781448054936307
92225,22952986.64,22864.294,201,2759890.08,1173.165,93.0,0.12024100058466292
92230,61284.92,17.525,6,57760.92,11.309999999999999,3.0,0.9424980892526252
92234,10678672.89,10690.712,733,4073669.09,1264.327,120.0,0.3814770928899574
92240,6054976.78,6690.329,356,7229379.44,3780.81,250.0,1.1939565918533548
92241,442836.15,1898.612,25,2946980.15,2986.8,10.0,6.654786764811319
92252,989602.0,1063.704,138,434045.0,313.66,3.0,0.43860562124975494
92256,619684.0,395.884,35,551848.0,260.14,2.0,0.8905313030512325
